Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ERC,Allspring Multi-Sector Income Fund Common Stock,$10.01,-0.18,-1.766%,280753593.00,United States,2003,81908,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$11.25,-0.185,-1.618%,104537891.00,,2004,17847,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$15.2543,-0.3456,-2.215%,41226775.00,United States,1960,692,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$39.49,0.19,0.483%,217745886.00,United States,,7989,Finance,Major Banks
EVI,EVI Industries Inc.  Common Stock,$22.26,0.58,2.675%,307131660.00,United States,1999,18204,Industrials,Industrial Machinery/Components
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.04,-0.03,-0.331%,223043369.00,United States,2002,143198,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$10.08,0.04,0.398%,1171330877.00,United States,2003,249263,Finance,Finance/Investors Services
EXN,Excellon Resources Inc. Common Shares,$0.3176,-0.0031,-0.967%,11637836.00,,2020,102142,,
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.82,-0.01,-0.353%,698502069.00,United States,1986,1039707,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.62,0.15,2.742%,63338159.00,United States,1992,128519,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$14.37,0.23,1.627%,279594733.00,United States,2004,96116,Finance,Finance/Investors Services
FGH,FG Group Holdings Inc. Common Stock,$2.31,-0.08,-3.347%,44974889.00,United States,,8305,Consumer Discretionary,Industrial Machinery/Components
FLAG,First Light Acquisition Group Inc. Class A Common Stock,$10.215,0.015,0.147%,100904015.00,,2021,19689,Industrials,Consumer Electronics/Appliances
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.395,-0.038,-8.776%,12318892.00,,2022,209174,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$10.45,0.14,1.358%,77002006.00,United States,1975,19349,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.13,-0.039,-1.231%,38894194.00,Canada,2002,19236,Consumer Discretionary,Recreational Games/Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$2.97,0.01,0.338%,306610665.00,United States,,412940,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.46,0.00,0.00%,261018716.00,United States,2003,76559,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.6151,0.0151,2.517%,85788581.00,,2020,261655,,
GAU,Galiano Gold Inc.,$0.56,-0.004,-0.709%,125968334.00,Canada,,358274,,
GBR,New Concept Energy Inc Common Stock,$1.16,-0.04,-3.333%,5953043.00,United States,1993,10658,Real Estate,Real Estate
GENC,Gencor Industries Inc. Common Stock,$10.64,0.05,0.472%,155957949.00,United States,,11165,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.78,0.02,0.532%,582718446.00,United States,2005,554603,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$23.05,0.02,0.087%,,United States,,2986,,
GLDG,GoldMining Inc. Common Shares,$1.33,0.01,0.758%,221108759.00,,,1015750,,
GLO,Clough Global Opportunities Fund Common Stock,$4.98,-0.08,-1.581%,216857696.00,United States,2006,202718,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.21,-0.11,-1.741%,118763896.00,United States,2005,89182,Finance,Finance/Investors Services
GLTA,Galata Acquisition Corp. Class A Ordinary Shares,$10.27,-0.0103,-0.10%,184539063.00,,2021,1289,Finance,Business Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$14.65,-0.07,-0.476%,87444546.00,United States,2004,30251,Finance,Finance/Investors Services
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$6.41,-0.085,-1.309%,81468427.00,United States,2004,46621,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$2.09,1.5545,290.289%,51603486.00,,2022,269659618,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$1.64,0.04,2.50%,144972899.00,United States,,673500,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$8.719,0.069,0.798%,34240062.00,United States,,1803,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$1.37,0.03,2.239%,46815850.00,,2022,67007,,
GROY,Gold Royalty Corp. Common Shares,$2.44,0.00,0.00%,351147888.00,,2021,265428,,
GSAT,Globalstar Inc. Common Stock,$1.32,-0.01,-0.752%,2377320000.00,United States,2006,2900041,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$0.9386,0.0209,2.277%,336173591.00,Canada,,1379960,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Common Stock,$10.29,-0.01,-0.097%,119685563.00,,2022,30580,Industrials,Consumer Electronics/Appliances
HNW,Pioneer Diversified High Income Fund Inc.,$10.55,-0.07,-0.659%,87931707.00,United States,2007,13475,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$3.91,0.19,5.108%,38819802.00,United States,,109159,Energy,Oil & Gas Production
